channelID,country,country(full)
UClDOmbCeOYJ10g-D0K-aADA,ZA,south africa
UClDOmbCeOYJ10g-D0K-aADA,ZA,south africa
UCUt1YpISvpZePTc0pAt7mHw,KE,kenya
UCgrNz-aDmcr2uuto8_DL2jg,CN,china
UCw79Mh4kePsHtXHrvagFiVw,IN,india
UCgrNz-aDmcr2uuto8_DL2jg,CN,china
