channelId,encounter_loc,user_country,videoId,enc_coords,user_coords
UCN91wtqA5bv4fpkFWYrCqfQ,Viso del Marqués,Spain,ATLtoBXMloU,"(38.52309036254883, -3.5668399333953857)","(40.3876953125, -3.557389974594116)"
UCBpj0czOS8i929y1SbEQKqQ,Montes de Toledo,Spain,Vfgc_oK-vL0,"(39.431922912597656, -4.33342981338501)","(40.3876953125, -3.557389974594116)"
UCkZXSEIzXFSzxqBsGK-x_mg,"Sierra del Relumbrar, Albacete",Spain,_VQZdczYUWc,"(38.60475158691406, -2.723170042037964)","(40.3876953125, -3.557389974594116)"
UCN91wtqA5bv4fpkFWYrCqfQ,"Fresneda Alta, Spain",Spain,FRs0hKoZ__4,"(40.92982864379883, 0.07610999792814255)","(40.3876953125, -3.557389974594116)"
