channelId,encounter_loc,user_country,videoId,enc_coords,user_coords
UCHxx90HwaxNo6R5qdfLw68A,"Oslob, Cebu, Philippines",United States,UTRiNQfuryQ,"(9.492090225219727, 123.39620208740234)","(39.49591064453125, -98.98998260498047)"
UCYpOR-4oWGvQ7oOCHOlxn3g,puerto princessa,United Kingdom,ZnqO3z4CpH8,"(9.740010261535645, 118.74420928955078)","(53.9438362121582, -2.550563097000122)"
UCEyvkHknuZMnTSRqN0JHPjA,oslob cebu philippines,Philippines,hm11uHfocIc,"(9.492090225219727, 123.39620208740234)","(15.94802188873291, 121.42259216308594)"
UC2OIdbabBaytHyCO6P6y4GA,"Dhangethi,Maldives",United States,0qo5X-XQE-c,"(3.6078500747680664, 72.95426177978516)","(39.49591064453125, -98.98998260498047)"
UCMREjG-6RRl1Dyy7F8lPPmw,"Oslob, Philippines",United States,wakoC_tADa8,"(9.492090225219727, 123.39620208740234)","(39.49591064453125, -98.98998260498047)"
UCB9F9tdbINqQTywBBm92ckg,n/a,Philippines,fbYL23DZw3U,"(-32.096038818359375, 115.87539672851562)","(15.94802188873291, 121.42259216308594)"
UC0mFz3ybVEN8nEb1GZjyOlQ,"La Paz, Mexico",United States,S3k7F2hJ-mg,"(24.142118453979492, -110.31220245361328)","(39.49591064453125, -98.98998260498047)"
UCQGgupdFQ6fNN8EWBL1TOXg,"Oslob, Philippines",Philippines,Re0G8r9jss0,"(9.492090225219727, 123.39620208740234)","(15.94802188873291, 121.42259216308594)"
UC0mFz3ybVEN8nEb1GZjyOlQ,"La Paz, Mexico",United States,a4j6HbvvdEA,"(24.142118453979492, -110.31220245361328)","(39.49591064453125, -98.98998260498047)"
UCzPoFVVEl_XsuddA6_gZ_0A,Philippines,United Kingdom,ODsWA4YxGuQ,"(15.94802188873291, 121.42259216308594)","(53.9438362121582, -2.550563097000122)"
UCYBRcqEAVdjbCzDIa9W0vYA,Oman,Oman,LD_eEBn4h3U,"(20.569608688354492, 56.098087310791016)","(20.569608688354492, 56.098087310791016)"
UCWjSwkIn2gGgETcZZYaO-6g,"Oslob, Cebu, Philippines",Australia,uCYtz2lpnR0,"(9.492090225219727, 123.39620208740234)","(-25.578935623168945, 134.35972595214844)"
UCVxBvAlzgc2Dcqm8EbEsTjA,"Oslob, Cebu, Philippines",Philippines,n6QvewMxM5Y,"(9.492090225219727, 123.39620208740234)","(15.94802188873291, 121.42259216308594)"
UCoQWcwy-nYVG6Er9VxyxJJA,Philippines,United States,QODnYAHndC4,"(15.94802188873291, 121.42259216308594)","(39.49591064453125, -98.98998260498047)"
UC4RjMCWka4N2qGRLz6nbJUA,"Isla Mujeres, Mexico",United States,g1J14A-ZlGY,"(21.23056411743164, -86.73123168945312)","(39.49591064453125, -98.98998260498047)"
UCJzSjwyq8BLX08Veapd54NQ,Maldives,United States,JjpR4ABTxtQ,"(1.9123070240020752, 73.54009246826172)","(39.49591064453125, -98.98998260498047)"
UC2d4Er3NkNZXtUnrBC9QDag,"Oslob, Cebu, Philippines",Philippines,bKsD4vEPKzI,"(9.492090225219727, 123.39620208740234)","(15.94802188873291, 121.42259216308594)"
UC7BZogzh0KPhjWnQmJ5OPeg,"La Paz, Mexico",United States,0tFk3cm5HD0,"(24.142118453979492, -110.31220245361328)","(39.49591064453125, -98.98998260498047)"
UCD2et9utNd85N_TQ9KaMeiQ,"Oslob, Cebu, Philippines",Australia,O-oqSeuOHL0,"(9.492090225219727, 123.39620208740234)","(-25.578935623168945, 134.35972595214844)"
UC10LH3tSC1QerrQukRMc2KQ,Philippines,United States,bVzZvyB3UTY,"(15.94802188873291, 121.42259216308594)","(39.49591064453125, -98.98998260498047)"
UCa_m9pIJcye2NdMoa4r3bUA,Sorsogon,Philippines,UDGaDCdTJ_4,"(12.978311538696289, 124.0113754272461)","(15.94802188873291, 121.42259216308594)"
UCwl6exvx105c3ti7XXU6anw,"Donsol, Philippines",Canada,W2WtrPlB0eI,"(12.903400421142578, 123.60153198242188)","(62.536041259765625, -96.38835144042969)"
UCXNp03UVgSi0Q4MVbRkzR1A,"Cebu, Philippines",Philippines,Jphx_EE63sA,"(10.311209678649902, 123.89234161376953)","(15.94802188873291, 121.42259216308594)"
UChEhUDe5KqPfdBsnH16Nkvw,"Oslob, Cebu, Philippines",United States,Sg8TgVX1aMk,"(9.492090225219727, 123.39620208740234)","(39.49591064453125, -98.98998260498047)"
UCoq1VloyITzFW3oEaWlSPXA,Gulf of Mexico,United States,njYfm15eQEk,"(21.811426162719727, -92.281982421875)","(39.49591064453125, -98.98998260498047)"
UCQvoyoh-g01otTCSS8FrZWA,"Cebu, Philippines",Philippines,BPmTAejWHj0,"(10.311209678649902, 123.89234161376953)","(15.94802188873291, 121.42259216308594)"
UCL_ZccxtHi6IVJ6TfGyW2PQ,"Cabo San Lucas, Mexico",United States,oNdmkVHZDlc,"(22.894060134887695, -109.92627716064453)","(39.49591064453125, -98.98998260498047)"
UCE-pLwIqS9f2odpG8lPo4Qw,"Moalboal Cebu, Philippines",Philippines,G6Dh5JG5-IM,"(9.937970161437988, 123.39302825927734)","(15.94802188873291, 121.42259216308594)"
UCg-jvcJhRnbBzs-pNhbYHNw,"Oslob, Philippines",Philippines,x7nM3pKWvUY,"(9.492090225219727, 123.39620208740234)","(15.94802188873291, 121.42259216308594)"
UC57QH7Lu_exM8alejXmAfJg,Marsa Shagra House Reef,Egypt,yW_kHfU7jxE,"(25.23624038696289, 45.250511169433594)","(26.57845687866211, 29.776878356933594)"
UCRHbCFE0X1pZT9PUDaQfJlA,"Oslob, Cebu, Philippines",United States,cpb1ebdIPQU,"(9.492090225219727, 123.39620208740234)","(39.49591064453125, -98.98998260498047)"
UCgjmTvAcrZMdRASOReso9-A,Similan Islands,France,qeKxOzAGQtA,"(8.650975227355957, 97.64593505859375)","(46.62184143066406, 2.4519479274749756)"
UCdejq1Kj7SSySjM0O3SppSQ,Lila Bohol,Brazil,DL0O0mmN83Q,"(9.590410232543945, 124.09593200683594)","(-10.775375366210938, -53.06931686401367)"
UCH2h6_IqzOZRnXgh9LUHQtA,"Oslob, Cebu, Philippines",Philippines,JbNcY0qv9UU,"(9.492090225219727, 123.39620208740234)","(15.94802188873291, 121.42259216308594)"
UC5AhY5qUzvpmRcNiwH8i9Cw,"Donsol, Philippines",New Zealand,_eWpmU1v8Eg,"(12.903400421142578, 123.60153198242188)","(-43.947635650634766, 170.50286865234375)"
UCbKsuioQPBJBXMT5uNGPPrw,Moalboal Island,Philippines,bS6AFPs9E88,"(9.937970161437988, 123.39302825927734)","(15.94802188873291, 121.42259216308594)"
UCfZ8ebmfGyyn1lYagTv5JSA,"TAN-AWAN, OSLOB, CEBU",Philippines,y9wLTEA63CI,"(9.476829528808594, 123.38652801513672)","(15.94802188873291, 121.42259216308594)"
UCCgLMMp4lv7fSD2sBz1Ai6Q,Gopalpur,India,lc21NzZDtYo,"(19.258569717407227, 84.9052505493164)","(22.493118286132812, 79.72701263427734)"
UCn0jwOdspjk-NPTaPa0hSDw,philippines,Philippines,clI2Nrlp5Ak,"(15.94802188873291, 121.42259216308594)","(15.94802188873291, 121.42259216308594)"
UCLKJThNsMXfridSO3vgwNvQ,Malaysia,United States,MtiGe-oJcqI,"(3.605454921722412, 114.71067810058594)","(39.49591064453125, -98.98998260498047)"
UCn8CuFF_HhJDdXlkRj0TvKg,"Oslob, Cebu, Philippines",United States,vTdDbgUgP0Y,"(9.492090225219727, 123.39620208740234)","(39.49591064453125, -98.98998260498047)"
UCK4sB-brxYUMmA6UAC_I5ZQ,Philippines,Japan,1_dcMPcx3tc,"(15.94802188873291, 121.42259216308594)","(36.65333557128906, 137.981689453125)"
UCazMgktuuszCiaHYSIHGTGA,"Oslob, Cebu, Philippines",Philippines,fLge4Qys_Wo,"(9.492090225219727, 123.39620208740234)","(15.94802188873291, 121.42259216308594)"
UCBgNTLwT4jvdJqKAumPwgSg,"Oslob, Philippines",Philippines,-kXwUZWSSQ4,"(9.492090225219727, 123.39620208740234)","(15.94802188873291, 121.42259216308594)"
UCCgLMMp4lv7fSD2sBz1Ai6Q,Ganjam Sea Beach,India,XMCoYJSNth8,"(19.387649536132812, 85.05011749267578)","(22.493118286132812, 79.72701263427734)"
UCSolBlqkzKAylpmoOvsFOHQ,"Oslob, Philippines",Philippines,fByMW1dsBjg,"(9.492090225219727, 123.39620208740234)","(15.94802188873291, 121.42259216308594)"
UCz2yxQJZgiB_5elTzqV7FiQ,Karachi,Pakistan,AoR1acQyIoc,"(24.92671012878418, 67.03437042236328)","(29.354202270507812, 68.80183410644531)"
UC1w18EgnwySpv1Mhts6nkfg,"Oslob, Philippines","Taiwan, Province of China",lBnSzNpNYk4,"(9.492090225219727, 123.39620208740234)","(36.563114166259766, 103.73580932617188)"
UCj5zCC_i8QwfZagXYcrJYgg,"Oslob, Cebu, Philippines",Philippines,O2Ujo3MQXZ4,"(9.492090225219727, 123.39620208740234)","(15.94802188873291, 121.42259216308594)"
UCFjz-qehcZrfhB8_eH3r3Sw,none,Philippines,gf0OQcL95_s,"(26.655010223388672, 87.53205108642578)","(15.94802188873291, 121.42259216308594)"
UCqygFo1wOLP8mzmKyAGKHTA,"Isla Mujeres, Mexico",Mexico,8NCwx58T1qc,"(21.23056411743164, -86.73123168945312)","(23.940610885620117, -102.52513885498047)"
UCHI4eevD92W5CAE9TLIG3Wg,"Sebaste, Antique, Philippines",Philippines,LaPEeXkU6Vw,"(11.592209815979004, 122.09642028808594)","(15.94802188873291, 121.42259216308594)"
UCgm8_HlNa6ywUfdUOsSuk2w,"Oslob, Cebu, Philippines",Philippines,NnFyNBpuDxs,"(9.492090225219727, 123.39620208740234)","(15.94802188873291, 121.42259216308594)"
UCSB-VMqJp6xeuUCGp5pU95Q,"Lila Bohol, Philippines",Philippines,j0U27RKCUMs,"(9.590410232543945, 124.09593200683594)","(15.94802188873291, 121.42259216308594)"
UCOOa_4WkJpAz_NsH2qtfSVg,"Lila Bohol, Philippines",Philippines,kELjfhlDtKI,"(9.590410232543945, 124.09593200683594)","(15.94802188873291, 121.42259216308594)"
UCaFm2NGi9bOojOAIDzP7s8Q,Ponce Inlet,United States,uuMaj9bKYxc,"(29.121540069580078, -80.95208740234375)","(39.49591064453125, -98.98998260498047)"
UCsMnfIkC08xb2e8_esw8efw,"oslob, cebu, philippines",United States,ojoJwBk8Hh0,"(9.492090225219727, 123.39620208740234)","(39.49591064453125, -98.98998260498047)"
UCnhnfO4XVbB0pEqjghp1KKw,"oslob, cebu,philippines",Germany,BviuhGSXcV8,"(9.492090225219727, 123.39620208740234)","(51.12180709838867, 10.400694847106934)"
UClN4tle1NC1Yyjf8YoMn3Ew,"oslob, cebu, philippines",Philippines,6u8G6uHvmlk,"(9.492090225219727, 123.39620208740234)","(15.94802188873291, 121.42259216308594)"
UCYmoo0yfXMYfrlyQQ8yxLWQ,"oslob, cebu, philippines",Philippines,xpISY0uuWWk,"(9.492090225219727, 123.39620208740234)","(15.94802188873291, 121.42259216308594)"
UCrTW-bYJ62jJHpKyLToiqAg,"Ko Pha Ngan, Thailand",South Africa,u3hTr1IqdV4,"(9.736129760742188, 100.00595092773438)","(-29.00231170654297, 25.080324172973633)"
UCbBAiCycG6lFoQRqvQu8yyg,"SUMILON ISLAND, Philippines",Philippines,yI3zii6SgBU,"(9.433955192565918, 123.38642883300781)","(15.94802188873291, 121.42259216308594)"
UClPn38quemFi2x5VqqhRNQA,"cebu, philippines",United States,Ae1hArw5aoY,"(10.311209678649902, 123.89234161376953)","(39.49591064453125, -98.98998260498047)"
UCpwRhqoxXle85OJVEzx3mCw,Mexico,United Kingdom,0rni4idSxd8,"(23.940610885620117, -102.52513885498047)","(53.9438362121582, -2.550563097000122)"
UCJK-vHzcAxz_VkNWxJiN9WA,"Bohol, Philippines","Korea, Republic of",lAskzRJeKkk,"(9.85110092163086, 124.20475769042969)","(36.45115661621094, 127.86114501953125)"
UCdmUru4JJabWd2ugwsfTrSA,"TAN-AWAN, OSLOB, CEBU PHILIPPINES",Philippines,aw3nE9hFQeg,"(9.476829528808594, 123.38652801513672)","(15.94802188873291, 121.42259216308594)"
UCo3y8vsCY5VwUNYHbxRmosA,"Isla Mujeres, Mexico",United States,9BbCBqOd-vg,"(21.23056411743164, -86.73123168945312)","(39.49591064453125, -98.98998260498047)"
UCksm5HBecJD8TWJRPHHJ87A,"Cebu, Philippines","Korea, Republic of",UC1ZPLtqBfQ,"(10.311209678649902, 123.89234161376953)","(36.45115661621094, 127.86114501953125)"
UCE9GK5ELZ3X09Ns5qmpRR_Q,"Cebu, Philippines",Philippines,1cSSldyj910,"(10.311209678649902, 123.89234161376953)","(15.94802188873291, 121.42259216308594)"
UCIWpcK62c3w0LkrKheCJaJQ,Philippines,Croatia,2pDwCS_q2IM,"(15.94802188873291, 121.42259216308594)","(45.14006805419922, 16.427303314208984)"
UCntxIE8FKow3FbWG-BCApeQ,"TUBBATAHA REEF, Philippines",United States,AslyZkyyRv0,"(8.845487594604492, 119.90866088867188)","(39.49591064453125, -98.98998260498047)"
UCb323M7UmOgGckXmk-OQE5Q,Philippines,Morocco,qPCQY8jEDWo,"(15.94802188873291, 121.42259216308594)","(31.841411590576172, -6.2812910079956055)"
