channelId,encounter_loc,user_country,videoId,enc_coords,user_coords
UClDOmbCeOYJ10g-D0K-aADA,"Lobamba, Eswatini",South Africa,kvpy2vc-iHs,"(-26.42837905883789, 31.180469512939453)","(-29.00231170654297, 25.080324172973633)"
UCUt1YpISvpZePTc0pAt7mHw,"Kajiado County, Kenya",Kenya,Q9Ups6yLmSk,"(-2.13100004196167, 36.87799835205078)","(0.5370280146598816, 37.85677719116211)"
UCgrNz-aDmcr2uuto8_DL2jg,South Africa,China,wpuVmBmR6aU,"(-29.00231170654297, 25.080324172973633)","(36.563114166259766, 103.73580932617188)"
UCgrNz-aDmcr2uuto8_DL2jg,"Maasai Mara, kenya",China,UFoRrjhn33I,"(-1.5209300518035889, 35.337520599365234)","(36.563114166259766, 103.73580932617188)"
