videoID,newLocation
fgL2afRzSzc,Samburu
FQ3HmAfX0l4,kenya
d6ZthPwQx88,Africa
JDh-3Vzd4fs,africa
ZftnxXWZHaM,"samburu county, kenya"
mdom2tsXQRM,africa
JZtO5XK82k4,africa
TDFq1TCGnKg,africa
HcMsUj8V5_M,Namibia
