confidence,datetaken,latitude,longitude,owner,ownername,relevant,title,url,wild
,2021-05-07T15:53:09.000Z,-25.202239,31.573405,11555596@N02,EKatBoechat,true,Zebra. Kruger National Park. South Africa. May/2021,https://live.staticflickr.com/65535/51183689651_ba2d74de08_b.jpg,true
,2021-05-09T13:51:53.000Z,-25.043342,31.907413,11555596@N02,EKatBoechat,true,Zebra. Kruger National Park. South Africa. May/2021,https://live.staticflickr.com/65535/51184767385_2f80cc35f2_b.jpg,true
,2020-02-19T10:33:33.000Z,-2.970481,34.818908,109544413@N05,Photoski141,true,"""Cheese!""",https://live.staticflickr.com/65535/51152568965_0f6fec27b8_b.jpg,true
,2020-02-19T10:20:27.000Z,-2.970481,34.818908,109544413@N05,Photoski141,true,Belting out a tune,https://live.staticflickr.com/65535/51151465381_2784b3fd2c_b.jpg,true
,2020-02-19T10:09:59.000Z,-2.970481,34.818908,109544413@N05,Photoski141,true,"""Hello""",https://live.staticflickr.com/65535/51150791897_d5fd42729a_b.jpg,true
,2020-02-19T10:34:42.000Z,-2.970481,34.818908,109544413@N05,Photoski141,true,Texture of their coat,https://live.staticflickr.com/65535/51152248714_059706ff90_b.jpg,true
,2020-02-19T10:34:42.000Z,-2.970481,34.818908,109544413@N05,Photoski141,true,"Brown, Black & White Stripes 3",https://live.staticflickr.com/65535/51152567080_0971974f7f_b.jpg,true
,2020-02-19T10:14:15.000Z,-2.970481,34.818908,109544413@N05,Photoski141,true,Unique Stripe Pattern,https://live.staticflickr.com/65535/51150789842_0dbda7a045_b.jpg,true
,2020-02-19T10:08:10.000Z,-2.970481,34.818908,109544413@N05,Photoski141,true,Leading edge of the Great Migration,https://live.staticflickr.com/65535/51150789772_cafb5f45a7_b.jpg,true
,2020-02-19T10:50:32.000Z,-2.970481,34.818908,109544413@N05,Photoski141,true,Heads or Tail?,https://live.staticflickr.com/65535/51151462871_31ed7039a3_b.jpg,true
,2020-02-18T13:14:50.000Z,-2.891723,34.927216,109544413@N05,Photoski141,true,Her cover was blown...,https://live.staticflickr.com/65535/51121610722_cdb0ec42de_b.jpg,true
,2020-02-18T13:12:29.000Z,-2.891723,34.927216,109544413@N05,Photoski141,true,Maybe?  There is a smaller one in that group.,https://live.staticflickr.com/65535/51122974460_a96f8e797e_b.jpg,true
,2020-02-18T12:31:51.000Z,-2.891723,34.927216,109544413@N05,Photoski141,true,"But when they reached the grass, they sat down.",https://live.staticflickr.com/65535/51122083678_74f2493478_b.jpg,true
,2020-02-18T12:19:26.000Z,-2.891723,34.927216,109544413@N05,Photoski141,true,Zebras leading the way,https://live.staticflickr.com/65535/51121595817_d02a59dfd2_b.jpg,true
,2021-03-13T11:49:44.000Z,-22.909342,31.253108,11555596@N02,EKatBoechat,true,Zebra. Kruger National Park. South Africa. Mar/2021,https://live.staticflickr.com/65535/51121056227_a27bbf4083_b.jpg,true
,2021-03-13T16:19:56.000Z,-23.374298,31.371991,11555596@N02,EKatBoechat,true,Zebra. Kruger National Park. South Africa. Mar/2021,https://live.staticflickr.com/65535/51121371449_4376af2d8e_b.jpg,true
,2021-03-14T11:24:59.000Z,-23.675623,31.541913,11555596@N02,EKatBoechat,true,Zebra. Kruger National Park. South Africa. Mar/2021,https://live.staticflickr.com/65535/51121371404_67272eb5ff_b.jpg,true
,2021-03-14T11:25:04.000Z,-23.675623,31.541913,11555596@N02,EKatBoechat,true,Zebra. Kruger National Park. South Africa. Mar/2021,https://live.staticflickr.com/65535/51121627956_7587e64a6a_b.jpg,true
,2021-03-14T11:26:07.000Z,-23.677103,31.542727,11555596@N02,EKatBoechat,true,Zebra. Kruger National Park. South Africa. Mar/2021,https://live.staticflickr.com/65535/51122417770_9d831d46e9_b.jpg,true
,2021-03-15T11:58:45.000Z,-24.171970,31.717105,11555596@N02,EKatBoechat,true,Zebra. Kruger National Park. South Africa. Mar/2021,https://live.staticflickr.com/65535/51121371269_6df320aced_b.jpg,true
,2021-03-15T12:02:58.000Z,-24.176053,31.717286,11555596@N02,EKatBoechat,true,Zebra. Kruger National Park. South Africa. Mar/2021,https://live.staticflickr.com/65535/51121055872_de6a31f14c_b.jpg,true
73.56908321380615,2021-03-17T17:00:59.000Z,-25.334975,31.877088,11555596@N02,EKatBoechat,true,Zebra. Kruger National Park. South Africa. Mar/2021,https://live.staticflickr.com/65535/51121371119_9a7968b2eb_b.jpg,true
13.541233539581299,2020-02-18T11:43:16.000Z,-2.917762,34.950650,109544413@N05,Photoski141,true,It was a mellow herd,https://live.staticflickr.com/65535/51093844215_94b8de807d_b.jpg,true
27.583009004592896,2020-02-18T11:42:52.000Z,-2.917762,34.950650,109544413@N05,Photoski141,true,Lots of birds as well,https://live.staticflickr.com/65535/51093107369_5585ea14ef_b.jpg,true
1.1938037350773811,2020-02-18T11:39:14.000Z,-2.917762,34.950650,109544413@N05,Photoski141,true,Another herd of the Great Migration,https://live.staticflickr.com/65535/51093571033_cc15450ce7_b.jpg,true
83.33051800727844,2020-02-18T10:35:26.000Z,-2.928167,34.995838,109544413@N05,Photoski141,true,Some Zebra mixed in,https://live.staticflickr.com/65535/51093005646_9cabba3222_b.jpg,true
55.75253367424011,2021-02-05T16:17:01.000Z,-24.302903,27.830861,11555596@N02,EKatBoechat,true,Zebra. Welgevonden Game Reserve. South Africa. Feb/2021,https://live.staticflickr.com/65535/51015702000_bdb194b946_b.jpg,true
49.706971645355225,2021-02-06T08:51:22.000Z,-24.288992,27.794480,11555596@N02,EKatBoechat,true,Zebra. Welgevonden Game Reserve. South Africa. Feb/2021,https://live.staticflickr.com/65535/51084980527_fb99a96d21_b.jpg,true
67.92213916778564,2021-02-06T08:53:40.000Z,-24.289003,27.794461,11555596@N02,EKatBoechat,true,Zebra. Welgevonden Game Reserve. South Africa. Feb/2021,https://live.staticflickr.com/65535/50999959524_9db89886c2_b.jpg,true
66.68526530265808,2021-02-06T17:23:10.000Z,-24.286228,27.787744,11555596@N02,EKatBoechat,true,Zebra. Welgevonden Game Reserve. South Africa. Feb/2021,https://live.staticflickr.com/65535/51015701790_d4eae85aa9_b.jpg,true
91.3514792919159,2021-02-06T17:29:56.000Z,-24.286237,27.787691,11555596@N02,EKatBoechat,true,Zebra. Welgevonden Game Reserve. South Africa. Feb/2021,https://live.staticflickr.com/65535/51084885746_e7947e6ecd_b.jpg,true
91.25983715057373,2021-02-06T17:30:40.000Z,-24.286214,27.787711,11555596@N02,EKatBoechat,true,Zebra. Welgevonden Game Reserve. South Africa. Feb/2021,https://live.staticflickr.com/65535/50999959349_25ab8961f9_b.jpg,true
90.85556268692017,2021-01-16T16:00:44.000Z,-25.255398,27.122413,11555596@N02,EKatBoechat,true,Zebra. Pilanesberg Game Reserve. South Africa. Jan/2021,https://live.staticflickr.com/65535/51074518711_6c565b143d_b.jpg,true
87.30347752571106,2021-01-16T16:22:55.000Z,-25.264939,27.140897,11555596@N02,EKatBoechat,true,Zebra. Pilanesberg Game Reserve. South Africa. Jan/2021,https://live.staticflickr.com/65535/51005341245_913e81f29a_b.jpg,true
79.42251563072205,2021-01-16T16:23:02.000Z,-25.264939,27.140897,11555596@N02,EKatBoechat,true,Zebra. Pilanesberg Game Reserve. South Africa. Jan/2021,https://live.staticflickr.com/65535/51074622047_1ab6b5af5d_b.jpg,true
