datetaken,latitude,longitude,owner,ownername,relevant,title,url,wild
2021-05-19T09:41:27.000Z,32.208697,-110.920081,9968045@N03,Distraction Limited,true,"""What about me!""",https://live.staticflickr.com/65535/51198407822_636f619bc9_b.jpg,false
2021-05-19T09:38:02.000Z,32.208697,-110.920081,9968045@N03,Distraction Limited,true,"Grévy's zebra at Reid Park Zoo",https://live.staticflickr.com/65535/51199077641_d9ebaff222_b.jpg,false
2021-05-09T12:58:13.000Z,51.354888,-0.317064,15523409@N05,CoasterMadMatt,true,"Grévy's Zebra",https://live.staticflickr.com/65535/51184699907_26c20a14a1_b.jpg,false
2021-04-23T09:54:30.000Z,0,0,75137207@N02,Eschi46,true,"Grevyzebra / Grévy's Zebra / Equus grevyi DSCN6060",https://live.staticflickr.com/65535/51141170015_b8551a916f_b.jpg,unknown
2020-11-06T09:57:29.000Z,0.629641,37.541742,129593667@N03,Bruno Conjeaud,true,"Grevy's Zebra - Zèbre de Grévy",https://live.staticflickr.com/65535/51134053318_260026ecf0_b.jpg,true
2021-04-15T10:34:35.000Z,0,0,16236990@N08,david.l.quayle,true,"44946-Chester Zoo-2021-Grevy's Zebra",https://live.staticflickr.com/65535/51119240568_397d8d18a6_b.jpg,false
2020-11-06T10:35:26.000Z,0.604923,37.486724,129593667@N03,Bruno Conjeaud,true,"Grevy's Zebra (Mickey mouse)",https://live.staticflickr.com/65535/50909276621_c65e48b81a_b.jpg,true
2021-05-18T08:37:23.000Z,0,0,143326780@N02,MKHNaturalist,true,DSCN3645,https://live.staticflickr.com/65535/51194985922_d0d92e92ec_b.jpg,false
2021-05-18T08:38:50.000Z,0,0,143326780@N02,MKHNaturalist,true,DSCN3668,https://live.staticflickr.com/65535/51195695101_85e244a8c5_b.jpg,false
2021-05-04T15:01:09.000Z,53.501933,-1.037435,66202473@N04,Alan Burkwood,true,"Grevy's Zebra.",https://live.staticflickr.com/65535/51157335137_c6d6591db3_b.jpg,false
2021-04-29T17:45:38.000Z,0,0,184340126@N04,DavidESalyerJr,true,IMG_1897 (2),https://live.staticflickr.com/65535/51149704955_f8995e138e_b.jpg,false
2021-04-12T09:41:52.000Z,0,0,185162586@N05,jeremyeatsbacon,true,"Grevy's Zebra",https://live.staticflickr.com/65535/51129784999_2da3b3c187_b.jpg,false
2021-04-14T21:42:14.000Z,0,0,96807421@N07,nanettecordell,true,"Grevy's Zebra 1",https://live.staticflickr.com/65535/51118280461_2de38efd39_b.jpg,false
2021-04-01T12:36:02.000Z,0,0,184340126@N04,DavidESalyerJr,true,IMG_1392 (2),https://live.staticflickr.com/65535/51094696700_f19d9b5868_b.jpg,false
2021-02-24T10:18:54.000Z,0,0,84152923@N08,MrTDiddy,true,"Grévyzebra - Equus grevyi - Grévy's zebra",https://live.staticflickr.com/65535/51035282987_079799af5e_b.jpg,false
2021-02-24T10:18:57.000Z,0,0,84152923@N08,MrTDiddy,true,"Grévyzebra - Equus grevyi - Grévy's zebra",https://live.staticflickr.com/65535/51034447098_bb5a31b9bc_b.jpg,false
2021-02-24T10:19:02.000Z,0,0,84152923@N08,MrTDiddy,true,"Grévyzebra - Equus grevyi - Grévy's zebra",https://live.staticflickr.com/65535/51034446728_4f131684b2_b.jpg,false
2021-02-24T12:19:51.000Z,0,0,84152923@N08,MrTDiddy,true,"Grévyzebra - Equus grevyi - Grévy's zebra",https://live.staticflickr.com/65535/51035151971_865ce9ca38_b.jpg,false
2021-02-24T12:19:52.000Z,0,0,84152923@N08,MrTDiddy,true,"Grévyzebra - Equus grevyi - Grévy's zebra",https://live.staticflickr.com/65535/51034421858_42e4c41c5f_b.jpg,false
2021-02-24T12:19:55.000Z,0,0,84152923@N08,MrTDiddy,true,"Grévyzebra - Equus grevyi - Grévy's zebra",https://live.staticflickr.com/65535/51035256997_9cc7b50435_b.jpg,false
2020-12-24T15:17:06.000Z,0,0,78193635@N02,michael heyns,true,"Grevy's Zebra",https://live.staticflickr.com/65535/51035107316_65fdb12f16_b.jpg,unknown
2020-09-19T10:43:50.000Z,46.507773,3.630841,24067417@N03,Going to the Zoo with Trebaruna,true,"Equus grevyi - Grévy's Zebra",https://live.staticflickr.com/65535/51009809507_d9d4d70478_b.jpg,false
2021-02-23T08:53:18.000Z,0,0,182178592@N03,Douglas Denys,true,"Grevy's Zebra",https://live.staticflickr.com/65535/51009003631_864267b301_b.jpg,unknown
2021-02-20T21:05:07.000Z,0,0,153787871@N07,mitchross3,true,2021-02-21 Zoo-633.jpg,https://live.staticflickr.com/65535/51002575623_58c6faa981_b.jpg,unknown
2021-02-23T09:26:05.000Z,0,0,182178592@N03,Douglas Denys,true,"The Grevy's Zebra, Northern Kenya",https://live.staticflickr.com/65535/50995723152_bd27a4f321_b.jpg,true
2020-03-08T15:24:31.000Z,53.224897,-2.885853,20747318@N08,rs1979,true,Chester Zoo (1202),https://live.staticflickr.com/65535/50972838968_5a5cd9fa41_b.jpg,false
2021-02-14T11:35:12.000Z,0,0,152742755@N04,PaintedByDawn,true,IMG_2118,https://live.staticflickr.com/65535/50943896198_07bf968367_b.jpg,false
2021-01-11T10:48:52.000Z,0,0,191500887@N07,garynicoll,true,DSC_3718.jpg,https://live.staticflickr.com/65535/50943810732_ce9a23d15d_b.jpg,true
2021-01-11T10:48:49.000Z,0,0,191500887@N07,garynicoll,true,DSC_3716.jpg,https://live.staticflickr.com/65535/50943008938_31290abd48_b.jpg,true
2021-01-11T09:02:55.000Z,0,0,191500887@N07,garynicoll,true,DSC_3616.jpg,https://live.staticflickr.com/65535/50943701821_45ec9964cd_b.jpg,true
2021-01-11T09:01:07.000Z,0,0,191500887@N07,garynicoll,true,DSC_3605.jpg,https://live.staticflickr.com/65535/50943800807_f9664f41c8_b.jpg,true
2021-02-10T14:13:28.000Z,0,0,60266553@N00,Tom Wilberding,true,"Grevy's Zebra",https://live.staticflickr.com/65535/50931426336_0ec6dc43bb_b.jpg,unknown
2021-02-10T14:12:34.000Z,0,0,60266553@N00,Tom Wilberding,true,"Grevy's Zebra",https://live.staticflickr.com/65535/50930736258_3e08d5c8cf_b.jpg,unknown
2021-01-18T09:36:04.000Z,0,0,143326780@N02,MKHNaturalist,true,sactozoo011521 (109),https://live.staticflickr.com/65535/50864312622_535fb6b4cc_b.jpg,false
