,datetaken,encounter_latitude,encounter_longitude,owner,ownername,relevant,title,url,wild,confidence,user_location_name,user_coordinates,user_latitude,user_longitude,encounter_coordinates,residing_mongodb_collection,num_encounters_at_coords
0,2020-08-30T08:20:31.000Z,,,95131019@N02,imnOthere0,True,A giraffe in my yard,https://live.staticflickr.com/65535/50347515566_8849e3f37f_b.jpg,FALSE,,,,,,"(nan, nan)","['reticulated giraffe general', 'reticulated giraffe general africa bbox']",399
1,2020-09-11T13:11:38.000Z,,,34517103@N00,angela n.,True,Maryland Zoo,https://live.staticflickr.com/65535/50339844881_0de3a92058_b.jpg,FALSE,,"Washington, DC","(38.89206314086914, -77.01991271972656)",38.89206314086914,-77.01991271972656,"(nan, nan)","['reticulated giraffe general', 'reticulated giraffe general africa bbox', 'reticulated giraffe specific']",399
2,2020-09-11T13:11:41.000Z,,,34517103@N00,angela n.,True,Maryland Zoo,https://live.staticflickr.com/65535/50338830558_6b19fd0e63_b.jpg,FALSE,,"Washington, DC","(38.89206314086914, -77.01991271972656)",38.89206314086914,-77.01991271972656,"(nan, nan)","['reticulated giraffe general', 'reticulated giraffe general africa bbox', 'reticulated giraffe specific']",399
3,2020-09-11T13:11:42.000Z,,,34517103@N00,angela n.,True,Maryland Zoo,https://live.staticflickr.com/65535/50340000687_812ef23b46_b.jpg,FALSE,,"Washington, DC","(38.89206314086914, -77.01991271972656)",38.89206314086914,-77.01991271972656,"(nan, nan)","['reticulated giraffe general', 'reticulated giraffe general africa bbox', 'reticulated giraffe specific']",399
4,2020-08-18T15:00:40.000Z,,,34961066@N00,Maia C,True,Taking It Easy,https://live.staticflickr.com/65535/50294402906_15245bcd28_b.jpg,FALSE,,,,,,"(nan, nan)","['reticulated giraffe general', 'reticulated giraffe general africa bbox']",399
5,2020-08-25T16:19:07.000Z,,,162966071@N07,DicingWithLife,True,giraffe at whipsnade zoo,https://live.staticflickr.com/65535/50275309326_d857e74c1b_b.jpg,FALSE,,,,,,"(nan, nan)","['reticulated giraffe general', 'reticulated giraffe general africa bbox']",399
6,2020-08-25T16:19:09.000Z,,,162966071@N07,DicingWithLife,True,whipsnade zoo giraffe,https://live.staticflickr.com/65535/50274632438_20a6172ccb_b.jpg,FALSE,,,,,,"(nan, nan)","['reticulated giraffe general', 'reticulated giraffe general africa bbox']",399
7,2020-08-25T16:19:32.000Z,,,162966071@N07,DicingWithLife,True,two giraffes whipsnade,https://live.staticflickr.com/65535/50275309021_05353bd237_b.jpg,FALSE,,,,,,"(nan, nan)","['reticulated giraffe general', 'reticulated giraffe general africa bbox']",399
8,2020-08-25T16:19:57.000Z,,,162966071@N07,DicingWithLife,True,giraffe walking whipsnade,https://live.staticflickr.com/65535/50275466447_21ec89fb9f_b.jpg,FALSE,,,,,,"(nan, nan)","['reticulated giraffe general', 'reticulated giraffe general africa bbox']",399
9,2020-08-12T11:18:00.000Z,,,8563910@N08,C E Andersen,True,,https://live.staticflickr.com/65535/50261457062_9bbd2031dc_b.jpg,FALSE,,"Livonia, MI","(42.39506530761719, -83.36949920654297)",42.39506530761719,-83.36949920654297,"(nan, nan)","['reticulated giraffe general', 'reticulated giraffe general africa bbox']",399
