,datetaken,encounter_latitude,encounter_longitude,owner,ownername,relevant,title,url,wild,confidence,user_location_name,user_coordinates,user_latitude,user_longitude,encounter_coordinates,residing_mongodb_collection,num_encounters_at_coords
25,2019-07-05T09:05:19.000Z,,,193099322@N08,shoots.small,True,_DSC7522,https://live.staticflickr.com/65535/51188778893_0448a85896_b.jpg,True,,,,,,"(nan, nan)",['humpback whale general'],3942
26,2019-07-05T09:08:50.000Z,,,193099322@N08,shoots.small,True,_DSC7535,https://live.staticflickr.com/65535/51188560386_1ed706f8bd_b.jpg,True,,,,,,"(nan, nan)",['humpback whale general'],3942
27,2019-07-05T09:09:14.000Z,,,193099322@N08,shoots.small,True,_DSC7550,https://live.staticflickr.com/65535/51188560211_12ea65c77c_b.jpg,True,,,,,,"(nan, nan)",['humpback whale general'],3942
28,2019-07-05T09:10:09.000Z,,,193099322@N08,shoots.small,True,_DSC7572,https://live.staticflickr.com/65535/51189623330_d55f6c3e79_b.jpg,True,,,,,,"(nan, nan)",['humpback whale general'],3942
29,2019-07-05T09:11:44.000Z,,,193099322@N08,shoots.small,True,_DSC7625,https://live.staticflickr.com/65535/51188778243_d87cbae7f5_b.jpg,True,,,,,,"(nan, nan)",['humpback whale general'],3942
30,2019-07-05T09:14:38.000Z,,,193099322@N08,shoots.small,True,_DSC7671,https://live.staticflickr.com/65535/51188777783_fd3061b52b_b.jpg,True,,,,,,"(nan, nan)",['humpback whale general'],3942
31,2019-07-05T09:16:29.000Z,,,193099322@N08,shoots.small,True,_DSC7685,https://live.staticflickr.com/65535/51189327489_85d19dcb7d_b.jpg,True,,,,,,"(nan, nan)",['humpback whale general'],3942
32,2019-07-05T09:18:00.000Z,,,193099322@N08,shoots.small,True,_DSC7701,https://live.staticflickr.com/65535/51187857117_9fd7ea4672_b.jpg,True,,,,,,"(nan, nan)",['humpback whale general'],3942
33,2019-07-05T09:50:34.000Z,,,193099322@N08,shoots.small,True,_DSC7782,https://live.staticflickr.com/65535/51189326484_1f076a9c9b_b.jpg,True,,,,,,"(nan, nan)",['humpback whale general'],3942
34,2019-12-31T12:54:15.000Z,,,193099322@N08,shoots.small,True,MBWW_191231 (26),https://live.staticflickr.com/65535/51189323324_8b21c0d1d9_b.jpg,True,,,,,,"(nan, nan)",['humpback whale general'],3942
35,2019-12-31T12:54:15.000Z,,,193099322@N08,shoots.small,True,MBWW_191231 (31),https://live.staticflickr.com/65535/51188555216_96bf14d305_b.jpg,True,,,,,,"(nan, nan)",['humpback whale general'],3942
36,2019-12-31T12:16:09.000Z,,,193099322@N08,shoots.small,True,MBWW_191231 (113),https://live.staticflickr.com/65535/51188772848_7a03a97dd7_b.jpg,True,,,,,,"(nan, nan)",['humpback whale general'],3942
37,2019-12-31T12:08:43.000Z,,,193099322@N08,shoots.small,True,MBWW_191231 (121),https://live.staticflickr.com/65535/51189617795_b762909856_b.jpg,True,,"Gelsenkirchen, GER","(51.511531829833984, 7.093029975891113)",51.511531829833984,7.093029975891113,"(nan, nan)",['humpback whale general'],3942
38,2019-12-31T11:58:02.000Z,,,193099322@N08,shoots.small,True,MBWW_191231 (136),https://live.staticflickr.com/65535/51188554421_e7ba38f393_b.jpg,True,,,,,,"(nan, nan)",['humpback whale general'],3942
39,2020-06-17T10:30:50.000Z,,,193099322@N08,shoots.small,True,MBWW (2),https://live.staticflickr.com/65535/51188770343_eb2c7528b5_b.jpg,True,,,,,,"(nan, nan)",['humpback whale general'],3942
40,2020-06-17T10:01:32.000Z,,,193099322@N08,shoots.small,True,MBWW (77),https://live.staticflickr.com/65535/51188551686_54359d8eb6_b.jpg,True,,,,,,"(nan, nan)",['humpback whale general'],3942
41,2020-06-17T10:01:32.000Z,,,193099322@N08,shoots.small,True,MBWW (80),https://live.staticflickr.com/65535/51189319694_c2037cc8fe_b.jpg,True,,,,,,"(nan, nan)",['humpback whale general'],3942
42,2020-06-17T10:01:33.000Z,,,193099322@N08,shoots.small,True,MBWW (81),https://live.staticflickr.com/65535/51189614725_0279283993_b.jpg,True,,,,,,"(nan, nan)",['humpback whale general'],3942
43,2020-06-17T10:01:52.000Z,,,193099322@N08,shoots.small,True,MBWW (90),https://live.staticflickr.com/65535/51189614640_d5fb5ceca3_b.jpg,True,,,,,,"(nan, nan)",['humpback whale general'],3942
44,2020-06-17T10:17:48.000Z,,,193099322@N08,shoots.small,True,MBWW (120),https://live.staticflickr.com/65535/51189319439_fc53e9736e_b.jpg,True,,Sevilla,"(37.38264083862305, -5.996294975280762)",37.38264083862305,-5.996294975280762,"(nan, nan)",['humpback whale general'],3942
45,2019-08-07T10:02:01.000Z,,,162056726@N06,marsh_maureen,True,Whale Watching,https://live.staticflickr.com/65535/51185276790_232deaf3d5_b.jpg,True,,,,,,"(nan, nan)",['humpback whale general'],3942
46,2021-05-06T09:37:43.000Z,,,93707333@N03,bill hunnewell,True,whale tail,https://live.staticflickr.com/65535/51182916642_30d4d7ed51_b.jpg,True,,,,,,"(nan, nan)",['humpback whale general'],3942
47,2021-05-15T20:17:12.000Z,,,188489375@N08,TFalkChalmers,True,Golden Hour Breach,https://live.staticflickr.com/65535/51182800826_9669d5d3f7_b.jpg,True,,,,,,"(nan, nan)",['humpback whale general'],3942
48,2021-05-15T20:10:51.000Z,,,188489375@N08,TFalkChalmers,True,Waving to the Crowd,https://live.staticflickr.com/65535/51183016078_384a2b5eae_b.jpg,True,,,,,,"(nan, nan)",['humpback whale general'],3942
49,2021-05-14T11:15:39.000Z,,,22701477@N08,toryjk,True,Humpback Whale head slap.,https://live.staticflickr.com/65535/51183429854_7d9c2f0474_b.jpg,True,,,,,,"(nan, nan)",['humpback whale general'],3942
50,2021-05-14T16:15:22.000Z,,,52321838@N05,Saburosan,True,Cow and calf,https://live.staticflickr.com/65535/51182805003_6edb68df99_b.jpg,True,,,,,,"(nan, nan)",['humpback whale general'],3942
51,2021-05-08T16:48:58.000Z,,,52913310@N06,Selena Rhodes Scofield Photography,True,20210508-DSC_2504,https://live.staticflickr.com/65535/51185636329_e2ce7a1a98_b.jpg,True,,,,,,"(nan, nan)",['humpback whale general'],3942
