,datetaken,encounter_latitude,encounter_longitude,owner,ownername,relevant,title,url,wild,confidence,user_location_name,user_coordinates,user_latitude,user_longitude,encounter_coordinates,residing_mongodb_collection,num_encounters_at_coords
91,2020-01-17T18:26:42.000Z,,,30900814@N03,thesetter,True,Iberian Lynx!,https://live.staticflickr.com/65535/49684624742_721868169f_b.jpg,TRUE,,,,,,"(nan, nan)","['iberian lynx general', 'iberian lynx specific']",113
92,2020-02-25T17:17:52.000Z,,,127030885@N08,SalfordMartin,True,"Iberian lynx - Doñana National Park, Spain",https://live.staticflickr.com/65535/49631773607_a5f85b8036_b.jpg,TRUE,,Bury,"(53.59346008300781, -2.2985401153564453)",53.59346008300781,-2.2985401153564453,"(nan, nan)","['iberian lynx general', 'iberian lynx specific']",113
93,2020-02-25T17:40:51.000Z,,,127030885@N08,SalfordMartin,True,"Iberian lynx - Doñana National Park, Spain",https://live.staticflickr.com/65535/49631773542_a008ae9c88_b.jpg,TRUE,,Bury,"(53.59346008300781, -2.2985401153564453)",53.59346008300781,-2.2985401153564453,"(nan, nan)","['iberian lynx general', 'iberian lynx specific']",113
94,2020-02-25T17:18:59.000Z,,,127030885@N08,SalfordMartin,True,"Iberian lynx - Doñana National Park, Spain",https://live.staticflickr.com/65535/49631772742_dbfeff6816_b.jpg,TRUE,,Bury,"(53.59346008300781, -2.2985401153564453)",53.59346008300781,-2.2985401153564453,"(nan, nan)","['iberian lynx general', 'iberian lynx specific']",113
95,2020-02-25T17:22:41.000Z,,,127030885@N08,SalfordMartin,True,"Iberian lynx - Doñana National Park, Spain",https://live.staticflickr.com/65535/49631772527_d4bfb8e85c_b.jpg,TRUE,,Bury,"(53.59346008300781, -2.2985401153564453)",53.59346008300781,-2.2985401153564453,"(nan, nan)","['iberian lynx general', 'iberian lynx specific']",113
96,2020-02-25T17:40:57.000Z,,,127030885@N08,SalfordMartin,True,"Iberian lynx - Doñana National Park, Spain",https://live.staticflickr.com/65535/49631772417_d71252246b_b.jpg,TRUE,,Bury,"(53.59346008300781, -2.2985401153564453)",53.59346008300781,-2.2985401153564453,"(nan, nan)","['iberian lynx general', 'iberian lynx specific']",113
97,2020-02-25T17:18:53.000Z,,,127030885@N08,SalfordMartin,True,"Iberian lynx - Doñana National Park, Spain",https://live.staticflickr.com/65535/49631772217_20a9b848e4_b.jpg,TRUE,,Bury,"(53.59346008300781, -2.2985401153564453)",53.59346008300781,-2.2985401153564453,"(nan, nan)","['iberian lynx general', 'iberian lynx specific']",113
98,2020-02-25T17:22:50.000Z,,,127030885@N08,SalfordMartin,True,"Iberian lynx - Doñana National Park, Spain",https://live.staticflickr.com/65535/49630981088_9fe3b93a98_b.jpg,TRUE,,Bury,"(53.59346008300781, -2.2985401153564453)",53.59346008300781,-2.2985401153564453,"(nan, nan)","['iberian lynx general', 'iberian lynx specific']",113
99,2020-02-25T17:18:43.000Z,,,127030885@N08,SalfordMartin,True,"Iberian lynx - Doñana National Park, Spain",https://live.staticflickr.com/65535/49631503356_78e799f547_b.jpg,TRUE,,Bury,"(53.59346008300781, -2.2985401153564453)",53.59346008300781,-2.2985401153564453,"(nan, nan)","['iberian lynx general', 'iberian lynx specific']",113
100,2020-02-25T17:18:57.000Z,,,127030885@N08,SalfordMartin,True,"Iberian lynx - Doñana National Park, Spain",https://live.staticflickr.com/65535/49631503221_05f26dba83_b.jpg,TRUE,,Bury,"(53.59346008300781, -2.2985401153564453)",53.59346008300781,-2.2985401153564453,"(nan, nan)","['iberian lynx general', 'iberian lynx specific']",113
